,Date,Winner/Commander,WinCon,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
,12/1/21,"Reese / Prossh, Skyraider of Kher",Mid-Range Combat,Andrew / Araumi of the Dead Tide,"Aran / Nekusar, the Mindrazer","Reese / Prossh, Skyraider of Kher","Brendan / Zaxara, the Exemplary",,
,12/1/21,"Reese / Prossh, Skyraider of Kher",Combo,"Aran / Sisay, Weatherlight Captain","Reese / Prossh, Skyraider of Kher","Andrew / Omnath, Locus of Creation","Brendan / Xenagos, God of Revels",,
,12/7/2021,"Alex / Kumena, Tyrant of Orazca",Mid-Range Combat,"Alex / Kumena, Tyrant of Orazca","John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa",Phil / Ashling the Pilgrim,"Greg / Nekusar, the Mindrazer","Brendan / Jodah, Archmage Eternal",
,12/16/21,"Brendan / Yidris, Maelstrom Wielder",Burn,"Brendan / Yidris, Maelstrom Wielder","Phil / Prosper, Tome-Bound","John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa","Andrew / Bosh, Iron Golem",,
,12/16/21,"Phil / Prosper, Tome-Bound",Mid-Range Combat,Andrew / Emiel the Blessed,"Brendan / Chatterfang, Squirrel General","Phil / Prosper, Tome-Bound","John / Bruse Tarl, Boorish Herder + Kamahl, Heart of Krosa",,
,12/27/21,"John / Asmoranomardicadaistinaculdacar + Gyome, Master Chef",Mid-Range Combat,"Reese / Prossh, Skyraider of Kher","Brendan / Kess, Dissident Mage","John / Asmoranomardicadaistinaculdacar + Gyome, Master Chef","Alex / Prosper, Tome-Bound",,
,1/4/22,"Reese / Ayula, Queen Among Bears",Combo,"Brendan / Ruric Thar, the Unbowed","Greg / Titania, Protector of Argoth","Reese / Ayula, Queen Among Bears","Alex / Kumena, Tyrant of Orazca",,
,1/4/22,"John / Omnath, Locus of Mana",Mid-Range Combat,"Greg / Titania, Protector of Argoth","John / Omnath, Locus of Mana","Alex / Torbran, Thane of Red Fell","Reese / Ayula, Queen Among Bears","Brendan / Ruric Thar, the Unbowed",
,1/4/22,"Alex / Torbran, Thane of Red Fell",Burn,"Alex / Torbran, Thane of Red Fell","Greg / Titania, Protector of Argoth","Brendan / Ruric Thar, the Unbowed","John / Omnath, Locus of Mana",,
,1/8/22,"Alex / Yeva, Nature's Herald",Mid-Range Combat,"Alex / Yeva, Nature's Herald","Phil / Sythis, Harvest's Hand","John / Alela, Artful Provocateur",,,
Alex's neck will hurt for weeks from the whiplash of having his Firestorm for 9 redirected by deflecting swat :(,1/8/22,"Greg / Titania, Protector of Argoth",Mid-Range Combat,"Alex / Rielle, the Everwise","Phil / Yuriko, the Tiger's Shadow","John / Osgir, the Reconstructor","Greg / Titania, Protector of Argoth",,
,1/12/22,"Alex / Yeva, Nature's Herald",Mid-Range Combat,"Alex / Yeva, Nature's Herald","Phil / Kethis, the Hidden Hand","Brendan / Ruric Thar, the Unbowed",,,
,1/12/22,"Phil / Kethis, the Hidden Hand",Mid-Range Combat,"Alex / Yeva, Nature's Herald","Phil / Kethis, the Hidden Hand","Brendan / Ruric Thar, the Unbowed",,,
,1/12/22,"Alex / Yeva, Nature's Herald",Mid-Range Combat,John / Galazeth Prismari,"Alex / Yeva, Nature's Herald","Brendan / Ruric Thar, the Unbowed","Phil / Jared Carthalion, True Heir",,
Who Stifles a Bajuke,1/17/22,"Alex / Rielle, the Everwise",Voltron,"Brendan / Ruric Thar, the Unbowed","Alex / Rielle, the Everwise",Reese / The Ur-Dragon,"Greg / Lathril, Blade of the Elves",,
,1/17/22,"Greg / Lathril, Blade of the Elves",Mid-Range Combat,"Reese / Ayula, Queen Among Bears","Greg / Lathril, Blade of the Elves",Brendan / Maelstrom Wanderer,"Alex / Yeva, Nature's Herald",,
,1/23/22,"Brendan / Wort, the Raidmother",Burn,"Reese / Aminatou, the Fateshifter","Alex / Prosper, Tome-Bound","Brendan / Wort, the Raidmother",John / Queen Marchesa,,
,1/25/22,"Alex / Yeva, Nature's Herald",Mid-Range Combat,Reese / Firesong and Sunspeaker,"Brendan / Wort, the Raidmother",Greg / Bruvac the Grandiloquent,"Alex / Yeva, Nature's Herald",,
,1/25/22,Greg / Bruvac the Grandiloquent,Mill,"Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Alex / Lazav, the Multifarious","Brendan / Wort, the Raidmother",Greg / Bruvac the Grandiloquent,,
,1/25/22,"Brendan / Jodah, Archmage Eternal",Mid-Range Combat,"Brendan / Jodah, Archmage Eternal","Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Alex / Torbran, Thane of Red Fell","Greg / Titania, Protector of Argoth",,
,2/1/22,"Alex / Teysa, Orzhov Scion",Burn,"Reese / Volrath, the Shapestealer","Brendan / Zaxara, the Exemplary","Phil / Ghired, Conclave Exile","Alex / Teysa, Orzhov Scion","Greg / Rograkh, Son of Rohgahh + Ardenn, Intrepic Archaeologist",
,2/1/22,"Brendan / Zaxara, the Exemplary",Burn,"Greg / Rograkh, Son of Rohgahh + Ardenn, Intrepic Archaeologist",John / Queen Marchesa,"Phil / Chainer, Dementia Master","Alex / Prosper, Tome-Bound","Reese / Volrath, the Shapestealer","Brendan / Zaxara, the Exemplary"
,2/7/22,"John / Omnath, Locus of Mana",Mid-Range Combat,"Alex / Prosper, Tome-Bound","Reese / Prossh, Skyraider of Kher","Brendan / Animar, Soul of Elements","John / Omnath, Locus of Mana",,
,2/13/22,Phil / Teysa Karlov,Mid-Range Combat,Phil / Teysa Karlov,"Alex / Lazav, the Multifarious",Brendan / Scion of the Ur-Dragon,"Reese / Prossh, Skyraider of Kher",,
,2/13/22,"Alex / Rielle, the Everwise",Mid-Range Combat,"John / Asmoranomardicadaistinaculdacar + Gyome, Master Chef",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Reese / Morophon, the Boundless","Alex / Rielle, the Everwise",,
Voltron Pod Round 1: FIGHT,3/1/22,"John / Galea, Kindler of Hope",Voltron,"Greg / Rograkh, Son of Rohgahh + Ardenn, Intrepic Archaeologist","Brendan / Light-Paws, Emperor's Voice","John / Galea, Kindler of Hope","Reese / Charix, the Raging Isle",,
Voltron Pod Round 2: FIGHT,3/1/22,"Brendan / Light-Paws, Emperor's Voice",Voltron,"Brendan / Light-Paws, Emperor's Voice","John / Galea, Kindler of Hope","Greg / Rograkh, Son of Rohgahh + Ardenn, Intrepic Archaeologist","Reese / Charix, the Raging Isle",,
Tibalt = Tergrid + wheels secret commander; Ghired goes infinite with godo + helm!,3/5/22,"Phil / Ghired, Conclave Exile",Combo,"Phil / Ghired, Conclave Exile",Alex / Shadrix Silverquill,"John / Tibalt, Cosmic Imposter","Brendan / Light-Paws, Emperor's Voice",,
LightPaws digs deep to find aetherflux res to dome John w/ maze of ith,3/5/22,"Brendan / Light-Paws, Emperor's Voice",Burn,"Brendan / Light-Paws, Emperor's Voice",Phil / Ashling the Pilgrim,Alex / Shadrix Silverquill,"John / Tibalt, Cosmic Imposter",,
,3/8/22,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper",Combo,"Brendan / Animar, Soul of Elements","Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Alex / Torbran, Thane of Red Fell",Andrew / Araumi of the Dead Tide,,
,3/17/22,"Reese / Arcades, the Strategist",Mid-Range Combat,"Alex / Yeva, Nature's Herald","Brendan / Wort, the Raidmother","Reese / Arcades, the Strategist",,,
"Penultimate Turn Cycle: Teysa nearly combo'd off, but wasn't able to stick a Cruel Celebrant due to 2 counterspells (1 for CC; 1 for animate dead), so he had to settle for 990,000 white spirit tokens.  Ended his turn with an Elesh Norn and T-Pro (Bye!).   Bren (Wort) has a magnificent Gruul storm turn, digging for an instant speed way to kill Alex on his upkeep when he phases back in from T-Pro.  Wort spends 20m chaining Escape to the wilds &Mana Geyser off conspire and U-Breach. Sticks a Purphy and starts to make tokens.  John T-Pro's out (Bye!).  Bub's dies to the Purpy.  So its literally just Wort and 2 phased out players (alex and john).  Wort continues digging; Finds an answer. Waits for upkeep. Alex untaps.  Wort Electrodominance's Alex's face for 8 and makes 3 tokens for free.  Alex exiles Purphy in reponse so the tokens don't deal the final 6 lethal dmg.  Alex goes to combat and swings 100 of his 998,997 white spirit tokens at Bren.  John untaps and phases back in from T-Pro. Alex holds priority to Swords the Linvala, Keeper of Silence who is shushing Alex's sac outlets (teysa & carrion feeder).  In response John casts Rakdos charm, doming Alex for 998,998 damage.  GG.",3/17/22,John / Queen Marchesa,Mid-Range Combat,"Alex / Teysa, Orzhov Scion",John / Queen Marchesa,"Reese / Arcades, the Strategist","Brendan / Wort, the Raidmother",,
,3/22/22,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper",Combo,"Reese / Tymna the Weaver + Ikra Shidiqi, the Ursurper","Phil / Isshin, Two Heavens as one","Alex / Torbran, Thane of Red Fell",Brendan / Maelstrom Wanderer,"John / Osgir, the Reconstructor","Greg / Titania, Protector of Argoth"
,3/31/22,"John / Obuun, Mul Daya Ancestor",Mid-Range Combat,"John / Obuun, Mul Daya Ancestor","Brendan / Kess, Dissident Mage","Alex / Yeva, Nature's Herald",,,
,3/31/22,"John / Obuun, Mul Daya Ancestor",Mid-Range Combat,"John / Obuun, Mul Daya Ancestor","Brendan / Kess, Dissident Mage","Alex / Rielle, the Everwise",,,
,4/28/22,Brendan / Maelstrom Wanderer,Mid-Range Combat,"Greg / Lathril, Blade of the Elves","Alex / Torbran, Thane of Red Fell",Brendan / Maelstrom Wanderer,"Reese / Prossh, Skyraider of Kher",,
,4/28/22,Reese / Firesong and Sunspeaker,Mid-Range Combat,"Alex / Rielle, the Everwise",Reese / Firesong and Sunspeaker,"Greg / Kozilek, the Great Distortion",Brendan / Shadrix Silverquill,,
,5/4/22,Brendan / Scion of the Ur-Dragon,Mid-Range Combat,"Greg / Nekusar, the Mindrazer","Reese / Morophon, the Boundless","Alex / Yeva, Nature's Herald",Brendan / Scion of the Ur-Dragon,,
,5/4/22,"Alex / Prosper, Tome-Bound",Burn,"Alex / Prosper, Tome-Bound","Reese / Bruse Tarl, Boorish Herder + Sakashima of a Thousand Faces","Brendan / Xenagos, God of Revels",Greg / Kynaios and Tiro of Meletis,,
,5/22/22,John / Queen Marchesa,Mid-Range Combat,"Alex / Yeva, Nature's Herald","Brendan / Ruric Thar, the Unbowed","Reese / Varina, Lich Queen",John / Queen Marchesa,,
,5/25/22,Reese / The Ur-Dragon,Mid-Range Combat,"Greg / Jolene, the Plunder Queen","John / Galea, Kindler of Hope",Reese / The Ur-Dragon,"Brendan / Samut, Voice of Dissent",,
Turn 3 Possibility Storm makes things interesting. It also allows the gruul player to flip Vigor and an ETB fight creature on turn 4. ,5/31/22,Andrew / Neyith of the Dire Hunt,Mid-Range Combat,Andrew / Neyith of the Dire Hunt,"Nolan / Sythis, Harvest's Hand","Greg / Jolene, the Plunder Queen","Reese / Mishra, Artificer Prodigy",,
"Syr Konrad + Encore'd Massacre Worm took the table out in one swoop, from >40 to 0 like that.",5/31/22,Andrew / Araumi of the Dead Tide,Combo,Greg / Kynaios and Tiro of Meletis,Andrew / Araumi of the Dead Tide,"Nolan / Sythis, Harvest's Hand","Reese / Mishra, Artificer Prodigy",,
,6/4/22,"Alex / Yeva, Nature's Herald",Mid-Range Combat,"Alex / Yeva, Nature's Herald","Andrew / Bosh, Iron Golem","Andrew / Titania, Protector of Argoth","John / Obuun, Mul Daya Ancestor",,
Scapeshift + squandered resources + splendid reclamation <3,6/27/22,"Brendan / Yidris, Maelstrom Wielder",Combo,"Reese / Miirym, Sentinel Wyrm",Greg / Asmodeus the Archfiend,"Alex / Lazav, the Multifarious","Brendan / Yidris, Maelstrom Wielder","Andrew / Kalamax, the Stormsire",
,6/27/22,Andrew / Araumi of the Dead Tide,Mid-Range Combat,Greg / Asmodeus the Archfiend,"Reese / Miirym, Sentinel Wyrm",Andrew / Araumi of the Dead Tide,"Brendan / Animar, Soul of Elements","Alex / Torbran, Thane of Red Fell",
,6/30/22,"Reese / Miirym, Sentinel Wyrm",Combo,"Reese / Miirym, Sentinel Wyrm","John / Osgir, the Reconstructor",Phil / Ashling the Pilgrim,,,
,7/5/22,"Phil / Zaxara, the Exemplary",Mid-Range Combat,"Phil / Zaxara, the Exemplary","John / Obuun, Mul Daya Ancestor",Brendan / Scion of the Ur-Dragon,,,
