,Date,Winner/Commander,WinCon,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
,10/6/20,"Andrew / Omnath, Locus of Creation",,"Brendan / Samut, Voice of Dissent",Reese / The Ur-Dragon,"Andrew / Omnath, Locus of Creation","Phil / Kethis, the Hidden Hand",Greg / Kaalia of the Vast,
,10/6/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,Greg / Kaalia of the Vast,Brendan / Maelstrom Wanderer,"Andrew / Omnath, Locus of Creation",Reese / The Ur-Dragon,"Phil / Yuriko, the Tiger's Shadow",
,10/10/20,"Alex / Inalla, Archmage Ritualist",Combo,"Reese / Volrath, the Shapestealer","Brendan / Samut, Voice of Dissent",Andrew / Emiel the Blessed,"Alex / Inalla, Archmage Ritualist",,
SQUIRRELLS!!!!!!,10/11/20,"John / Hapatra, Vizier of Poisons",Combo,"John / Hapatra, Vizier of Poisons","Reese / Varina, Lich Queen","Brendan / Samut, Voice of Dissent",,,
,10/11/20,"Brendan / Samut, Voice of Dissent",Mid-Range Combat,"Reese / Varina, Lich Queen",John / Queen Marchesa,"Brendan / Samut, Voice of Dissent",,,
,10/11/20,John / Queen Marchesa,Control,John / Queen Marchesa,"Reese / Krenko, Mob Boss","Brendan / Yarok, the Desecrated",,,
,10/13/20,Reese / The Ur-Dragon,Mid-Range Combat,"John / Muldrotha, the Gravetide",Greg / Kaalia of the Vast,Reese / The Ur-Dragon,Brendan / Scion of the Ur-Dragon,"Alex / Torbran, Thane of Red Fell",
,10/17/20,Reese / The Ur-Dragon,Mid-Range Combat,Brendan / Scion of the Ur-Dragon,"Andrew / Omnath, Locus of Creation",John / Edgar Markov,Reese / The Ur-Dragon,,
,10/17/20,"Alex / Torbran, Thane of Red Fell",Burn,"Reese / Varina, Lich Queen",John / Edgar Markov,"Alex / Torbran, Thane of Red Fell",Brendan / Scion of the Ur-Dragon,"Greg / Nekusar, the Mindrazer","Andrew / Bosh, Iron Golem"
,10/17/20,"Greg / Nekusar, the Mindrazer",Group Slug,Brendan / Scion of the Ur-Dragon,"Reese / Varina, Lich Queen","Greg / Nekusar, the Mindrazer","Alex / Inalla, Archmage Ritualist",John / Edgar Markov,
Breya's last game in Mid,10/21/20,"John / Breya, Etherium Shaper",Control,"Phil / Yuriko, the Tiger's Shadow","John / Breya, Etherium Shaper",Reese / Firesong and Sunspeaker,Brendan / Scion of the Ur-Dragon,,
,10/21/20,Brendan / Scion of the Ur-Dragon,Mid-Range Combat,Brendan / Scion of the Ur-Dragon,John / Edgar Markov,Reese / Firesong and Sunspeaker,"Phil / Yuriko, the Tiger's Shadow",,
